Alleles Observed-SFS Expected
0 0.993941 0.993856
1 0.002228 0.002326
2 0.000800 0.000895
3 0.000462 0.000472
4 0.000345 0.000309
5 0.000263 0.000227
6 0.000180 0.000178
7 0.000178 0.000145
8 0.000144 0.000122
9 0.000133 0.000104
10 0.000092 0.000091
11 0.000085 0.000081
12 0.000091 0.000072
13 0.000080 0.000065
14 0.000048 0.000060
15 0.000048 0.000055
16 0.000071 0.000051
17 0.000039 0.000047
18 0.000028 0.000044
19 0.000036 0.000041
20 0.000037 0.000039
21 0.000025 0.000037
22 0.000044 0.000035
23 0.000034 0.000033
24 0.000032 0.000032
25 0.000030 0.000031
26 0.000041 0.000029
27 0.000020 0.000028
28 0.000025 0.000027
29 0.000020 0.000026
30 0.000023 0.000026
31 0.000023 0.000025
32 0.000021 0.000024
33 0.000018 0.000024
34 0.000020 0.000023
35 0.000018 0.000023
36 0.000020 0.000022
37 0.000034 0.000022
38 0.000025 0.000021
39 0.000014 0.000021
40 0.000030 0.000021
41 0.000020 0.000021
42 0.000012 0.000020
43 0.000023 0.000020
44 0.000016 0.000020
45 0.000020 0.000020
46 0.000011 0.000020
47 0.000014 0.000020
48 0.000012 0.000020
49 0.000018 0.000020
50 0.000009 0.000010
