Alleles Observed-SFS Expected
0 0.980981 0.980981
1 0.003819 0.003745
2 0.001883 0.002029
3 0.001381 0.001301
4 0.000949 0.000959
5 0.000816 0.000765
6 0.000656 0.000640
7 0.000491 0.000553
8 0.000555 0.000489
9 0.000475 0.000439
10 0.000421 0.000399
11 0.000357 0.000367
12 0.000336 0.000340
13 0.000272 0.000318
14 0.000315 0.000298
15 0.000251 0.000282
16 0.000245 0.000267
17 0.000277 0.000255
18 0.000267 0.000243
19 0.000208 0.000233
20 0.000245 0.000225
21 0.000229 0.000217
22 0.000181 0.000209
23 0.000229 0.000203
24 0.000229 0.000197
25 0.000219 0.000192
26 0.000181 0.000187
27 0.000219 0.000182
28 0.000192 0.000178
29 0.000197 0.000175
30 0.000171 0.000171
31 0.000144 0.000168
32 0.000128 0.000165
33 0.000165 0.000163
34 0.000133 0.000160
35 0.000155 0.000158
36 0.000133 0.000156
37 0.000123 0.000154
38 0.000165 0.000153
39 0.000128 0.000151
40 0.000107 0.000150
41 0.000101 0.000149
42 0.000160 0.000148
43 0.000112 0.000147
44 0.000149 0.000146
45 0.000123 0.000145
46 0.000165 0.000145
47 0.000155 0.000144
48 0.000155 0.000144
49 0.000192 0.000144
50 0.000059 0.000072
