Alleles Observed-SFS Expected
0 0.992384 0.992391
1 0.002695 0.002596
2 0.001036 0.001137
3 0.000588 0.000604
4 0.000386 0.000394
5 0.000249 0.000289
6 0.000267 0.000227
7 0.000217 0.000186
8 0.000148 0.000157
9 0.000123 0.000135
10 0.000119 0.000119
11 0.000107 0.000106
12 0.000101 0.000095
13 0.000091 0.000087
14 0.000084 0.000079
15 0.000060 0.000073
16 0.000071 0.000068
17 0.000055 0.000064
18 0.000066 0.000060
19 0.000066 0.000056
20 0.000057 0.000053
21 0.000053 0.000051
22 0.000037 0.000048
23 0.000068 0.000046
24 0.000052 0.000044
25 0.000044 0.000043
26 0.000036 0.000041
27 0.000039 0.000040
28 0.000050 0.000039
29 0.000044 0.000037
30 0.000028 0.000036
31 0.000032 0.000036
32 0.000032 0.000035
33 0.000034 0.000034
34 0.000037 0.000033
35 0.000036 0.000033
36 0.000020 0.000032
37 0.000025 0.000031
38 0.000025 0.000031
39 0.000025 0.000031
40 0.000025 0.000030
41 0.000041 0.000030
42 0.000041 0.000029
43 0.000027 0.000029
44 0.000028 0.000029
45 0.000025 0.000029
46 0.000030 0.000029
47 0.000034 0.000029
48 0.000025 0.000028
49 0.000030 0.000028
50 0.000009 0.000014
